id;name;login;password
1;a online;Savings;Pizza
2;projection;a Manat;foreground Aquitaine Shoes
3;repurpose;attitude-oriented deliverables;Tasty Nicaragua
4;cross-platform Bike next;Chicken;a
5;Computers;scale Generic interface;calculating fault-tolerant
6;Account;firewall;brand Lesotho
7;la orchid;Computers Rustic;Corse
8;Fresh input;solution-oriented aggregate;a SAS auxiliary
9;Loan attitude-oriented;withdrawal a;redundant
10;Auto Down-sized Business-focused;Triple-buffered b cross-platform;THX reboot Rhône-Alpes
